Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2022-08-07,14:00 (09:00),Matchweek 1,Sun,Away,W,2,1,Manchester Utd,2,15,4,26.7,0.13,0.50,17.4,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Match Report
2022-08-13,15:00 (10:00),Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,0,13,5,38.5,0.00,0.00,17.3,0,0,0,1.5,1.5,0.12,-1.5,-1.5,Match Report
2022-08-21,14:00 (09:00),Matchweek 3,Sun,Away,W,2,0,West Ham,2,10,1,10.0,0.10,1.00,18.8,0,1,1,1.7,0.9,0.09,+0.3,+0.1,Match Report
2022-08-27,15:00 (10:00),Matchweek 4,Sat,Home,W,1,0,Leeds United,1,13,4,30.8,0.08,0.25,13.6,0,0,0,2.0,2.0,0.16,-1.0,-1.0,Match Report
2022-08-30,19:30 (14:30),Matchweek 5,Tue,Away,L,1,2,Fulham,1,6,2,33.3,0.00,0.00,15.3,0,1,1,1.4,0.6,0.11,-0.4,-0.6,Match Report
2022-09-04,14:00 (09:00),Matchweek 6,Sun,Home,W,5,2,Leicester City,4,22,10,45.5,0.14,0.30,19.6,2,1,1,2.6,2.0,0.09,+1.4,+1.0,Match Report
2022-10-01,15:00 (10:00),Matchweek 9,Sat,Away,D,3,3,Liverpool,3,6,6,100.0,0.50,0.50,10.0,0,0,0,1.4,1.4,0.23,+1.6,+1.6,Match Report
2022-10-08,17:30 (12:30),Matchweek 10,Sat,Home,L,0,1,Tottenham,0,14,4,28.6,0.00,0.00,18.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report
2022-10-14,20:00 (15:00),Matchweek 11,Fri,Away,L,0,2,Brentford,0,21,7,33.3,0.00,0.00,17.2,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Match Report
2022-10-18,19:30 (14:30),Matchweek 12,Tue,Home,D,0,0,Nott'ham Forest,0,19,7,36.8,0.00,0.00,15.7,0,0,0,1.7,1.7,0.09,-1.7,-1.7,Match Report
2022-10-22,15:00 (10:00),Matchweek 13,Sat,Away,L,1,3,Manchester City,1,8,2,25.0,0.13,0.50,19.8,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Match Report
2022-10-29,15:00 (10:00),Matchweek 14,Sat,Home,W,4,1,Chelsea,2,19,7,36.8,0.11,0.29,15.9,0,0,0,2.4,2.4,0.13,-0.4,-0.4,Match Report
2022-11-05,15:00 (11:00),Matchweek 15,Sat,Away,W,3,2,Wolves,3,19,8,42.1,0.16,0.38,17.2,3,0,0,1.5,1.5,0.08,+1.5,+1.5,Match Report
2022-11-13,14:00 (09:00),Matchweek 16,Sun,Home,L,1,2,Aston Villa,1,7,2,28.6,0.14,0.50,18.2,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Match Report
2022-12-26,15:00 (10:00),Matchweek 17,Mon,Away,W,3,1,Southampton,2,7,4,57.1,0.29,0.50,13.7,0,0,0,0.6,0.6,0.09,+1.4,+1.4,Match Report
2022-12-31,17:30 (12:30),Matchweek 18,Sat,Home,L,2,4,Arsenal,2,9,5,55.6,0.22,0.40,13.5,0,0,0,1.2,1.2,0.13,+0.8,+0.8,Match Report
2023-01-03,19:45 (14:45),Matchweek 19,Tue,Away,W,4,1,Everton,4,19,8,42.1,0.21,0.50,18.9,1,0,0,2.2,2.2,0.11,+1.8,+1.8,Match Report
2023-01-14,15:00 (10:00),Matchweek 20,Sat,Home,W,3,0,Liverpool,3,16,8,50.0,0.19,0.38,16.3,0,0,0,1.9,1.9,0.12,+1.1,+1.1,Match Report
2023-01-21,15:00 (10:00),Matchweek 21,Sat,Away,D,2,2,Leicester City,2,13,4,30.8,0.15,0.50,17.0,0,0,0,1.7,1.7,0.16,+0.3,+0.3,Match Report
2023-02-04,15:00 (10:00),Matchweek 22,Sat,Home,W,1,0,Bournemouth,1,20,6,30.0,0.05,0.17,16.3,0,0,0,2.2,2.2,0.13,-1.2,-1.2,Match Report
2023-02-11,15:00 (10:00),Matchweek 23,Sat,Away,D,1,1,Crystal Palace,1,17,7,41.2,0.06,0.14,13.6,1,0,0,2.5,2.5,0.15,-1.5,-1.5,Match Report
2023-02-18,15:00 (10:00),Matchweek 24,Sat,Home,L,0,1,Fulham,0,21,7,33.3,0.00,0.00,15.6,1,0,0,2.2,2.2,0.11,-2.2,-2.2,Match Report
2023-03-04,15:00 (10:00),Matchweek 26,Sat,Home,W,4,0,West Ham,4,19,8,42.1,0.16,0.38,16.3,0,1,1,3.5,2.7,0.15,+0.5,+0.3,Match Report
2023-03-11,15:00 (10:00),Matchweek 27,Sat,Away,D,2,2,Leeds United,2,15,3,20.0,0.13,0.67,16.0,0,0,0,2.7,2.7,0.19,-0.7,-0.7,Match Report
